Image,Channel,PSNR,SI-PSNR,SSIM
028,1,19.282581598649497,33.51489517290534,0.7373678679472553
029,1,32.973574014468895,37.98057380901216,0.7892515434146946
030,1,19.325770697624826,33.194621089339904,0.7632479286254638
031,1,15.608266800383113,30.91693040147655,0.6232874438786443
032,1,19.372412846725787,32.55405272032981,0.744123309023189
033,1,23.5360236061134,37.541678385989314,0.8643186184964037
034,1,23.220344424345598,37.05647959659193,0.8563756384689601
035,1,22.616230734236925,38.42645531795969,0.8460966480035241
036,1,23.539507785752406,34.82873933451758,0.8179713583641618
037,1,20.463483474685397,34.54939945938813,0.7934965172975413
038,1,17.303537814928884,32.76237880240776,0.7721103185565299
039,1,28.612488246004716,33.6428634395313,0.8218697936893398
040,1,22.361960671265688,31.380302356607082,0.7554095399903632
041,1,24.52480762444207,35.12119367771569,0.7947727712183621
042,1,23.492052699743393,32.25418281188073,0.7673332619040792
043,1,31.3348981943304,38.48314667004979,0.8211941077312813
044,1,17.242054416420945,32.350588675028966,0.7358749945441622
045,1,26.06556346553814,34.53008903806087,0.8072809755424352
046,1,35.824533767045295,39.35716693963773,0.8288926674685594
047,1,23.511909215488682,35.7889322419235,0.8077208103049427
048,1,13.41491194592441,33.45037027990441,0.753240492566186
049,1,21.552675687368076,34.9441367033863,0.7783885123807481
050,1,18.389992482252197,32.49831992016758,0.7249378326215478
051,1,20.01975864707253,31.830593370810472,0.7068441765023901
052,1,33.078114923433574,36.64424378507493,0.8577274404598204
053,1,19.786669279269482,33.66579352539046,0.7575919106622043
054,1,19.464603430180574,31.711162555709272,0.7176761600139809
055,1,29.13469947162012,35.62310397601441,0.7448924330340779
056,1,29.981282817379622,34.360539457070956,0.8034053791296004
057,1,16.27677514028084,31.661710469010366,0.672420017019146
058,1,23.57836179517275,34.39077515222637,0.7883071716753224
059,1,13.20948736911317,31.6357334449363,0.627086304389991
060,1,20.615966918299776,31.16677847637561,0.7034110588017756
061,1,22.857109923958795,36.55947240564171,0.7902804990426593
062,1,13.94072017464504,33.29674392390579,0.6639788264492853
063,1,22.18014677178882,34.06751684392482,0.7756357993772633
064,1,23.222329684805523,32.72184351842049,0.7591529636094906
065,1,21.03289474875495,34.33412699585751,0.7601381968073513
066,1,17.451834754194223,32.42068556800991,0.7620531936213906
067,1,29.24747832788195,36.569793956118744,0.7920823706914861
068,1,29.239607295731265,37.60216133373127,0.7948981915322255
069,1,28.245773783274856,37.43349691075131,0.810183814717339
070,1,13.950577454557887,32.434650739472175,0.6635096562594144
071,1,16.655598347288464,33.46726822681556,0.7413005351664943
072,1,13.728940514756324,30.78449074449268,0.6116411030119839
073,1,22.474982339694947,32.75476284805344,0.7573301042316621
074,1,31.782771372408874,36.9811262466941,0.8192392901315223
075,1,24.790644365177158,33.20242802004175,0.796786574357829
076,1,13.563778032087164,34.07528008236623,0.7410151890393849
077,1,31.93626485865059,38.50818888603139,0.8444847627183277
078,1,20.91285004229187,32.086418571706986,0.753565471965923
079,1,29.222134738371484,37.224807993055265,0.7966739034498111
080,1,23.562132826529812,33.76185660221196,0.8401454639374069
081,1,26.315000770631496,35.909895576848704,0.7968229390682484
082,1,19.331121087966988,31.449762547501457,0.7049852121454514
083,1,14.306848902704024,33.33522052233664,0.6990340157340429
084,1,25.071032963433865,35.18039992399819,0.8129633788932985
085,1,12.514764112919574,30.85285401785687,0.5922089378499461
086,1,19.056981233404155,32.04057358175668,0.7207954677004502
087,1,21.030768740216654,32.45545180713671,0.7593825224038365
088,1,16.7789605539039,32.39638390436284,0.7102696162304216
089,1,21.159477003800944,33.42348823389283,0.7664550618068882
090,1,15.78969482836025,32.354486573000436,0.6867566136489504
091,1,16.291397606780503,30.788512395131114,0.6526554546885035
092,1,19.811441521540573,31.272231422966293,0.7116592757532771
093,1,18.950682082882672,35.80973047758287,0.8181730992034574
094,1,21.75261603203061,33.36645115951842,0.8013842827343739
095,1,21.34394458458693,33.342834868988945,0.798740650246154
096,1,22.61888709437669,33.10585895836061,0.7706407380944493
097,1,29.36328117746937,35.833177687022804,0.8413386811170251
098,1,26.682530502913014,34.597226941774295,0.7969221557870892
099,1,26.44108867626563,32.4126324655296,0.7861727652885733
100,1,21.111193030034833,31.432571351376886,0.7151894705048997
101,1,30.73565018322813,35.76278586895319,0.8159384160348171
102,1,21.356497101248856,34.87152059981574,0.7960778532175735
103,1,19.524776425934192,32.68815349729018,0.7316022946864578
104,1,29.21519443220945,36.97568022518672,0.8363007810075618
105,1,24.512597139913638,38.369983884073626,0.8761940317039718
106,1,26.954756500892838,36.42254588386682,0.8857738189516327
107,1,32.51797650463115,35.6594331167492,0.8898031286939342
108,1,15.791466532656415,30.930789510180578,0.6165410200042121
109,1,13.187970704963687,29.506119292674477,0.5044130630269498
110,1,19.054326814702133,33.200376671460255,0.800117636785644
111,1,26.174772414016964,38.128404536333676,0.8394789254667023
112,1,22.50845782143046,36.88142008982294,0.8560739403952781
113,1,36.00232709755062,43.94242546787502,0.8176610597134328
114,1,27.920050826454844,35.424318605990415,0.8007781023291389
115,1,24.31284115660088,33.79674452789306,0.7753026311240651
116,1,31.428518732539,36.721264427822334,0.8254863700121321
117,1,20.723958585754975,33.99638442084757,0.7653256354663966
118,1,24.4936596218188,35.53148101573815,0.8271758572016504
119,1,18.9826367253082,32.6680952300464,0.7156114496193897
120,1,28.06307359174001,34.474092586721696,0.7994977510726028
001,2,16.48442968868214,35.09022622262564,0.7735451404583222
002,2,23.725479933881644,41.33466468361961,0.8722839432821865
003,2,25.611809735806283,39.97685541467547,0.8972438484221639
004,2,17.62212551851547,35.92430709043061,0.7656844165889731
005,2,20.094779084401733,35.402991515767596,0.7948901976624692
006,2,16.671453985668517,32.76445283453207,0.6800930532140836
007,2,33.531716286755376,45.40652543301947,0.9439808127965555
008,2,31.85055917486329,43.542273460889604,0.9230151093479084
009,2,31.390606296068967,42.18853637276118,0.8871708799234879
010,2,32.79669678827164,43.731543590575015,0.9476551356462816
011,2,27.785220170461628,41.03874162802728,0.8384821449171665
012,2,37.99560772705546,47.48571025915624,0.9506197095331211
013,2,21.707716700954386,37.988989761164234,0.8706989756946151
014,2,32.879853464777355,43.976493359124255,0.8234282979669907
015,2,24.053945593178028,40.019603199382125,0.8629574724581203
016,2,29.611692438522162,40.89270332193432,0.907780698318719
017,2,11.896509590661896,31.355592002090482,0.6097560466915246
018,2,15.952120610941858,33.4452568479027,0.7046148229104648
019,2,27.654078351768415,39.53471127919665,0.8358126200813021
020,2,17.71082275251983,32.8827998969911,0.66117070253868
021,2,16.952275885152222,34.14630351387862,0.7493186322228711
022,2,17.4787390241049,35.760911672798215,0.8202988168054482
023,2,28.49761226403329,39.082872861383876,0.8348162478184278
024,2,26.53964592536019,38.42017598584115,0.8376291847361182
025,2,19.337622797885974,33.46494657709109,0.748124843804629
026,2,21.361210706146558,36.63386660036264,0.8208162136244511
027,2,29.46070417463284,40.522147154968735,0.8513003242422954
028,2,27.862838365750587,41.8749012922966,0.8779911695427819
029,2,27.928519174374394,40.388233017410656,0.8037361400001126
030,2,21.150986140440548,36.27391800218364,0.8196930049907156
031,2,21.173466357823052,34.308660645953694,0.8031805150055783
032,2,27.824589172813944,35.99892463323374,0.8740559056430762
033,2,19.207902375433566,35.3015316918911,0.7872662180441182
034,2,17.819174017782736,35.651333069283226,0.7970162942706596
035,2,27.367826312496906,42.0388526723621,0.8710602542090037
036,2,30.706791939498647,44.29613102509969,0.9188398717687943
037,2,26.63341581971809,43.74182329655604,0.9003916943647813
038,2,25.310739091322322,40.32917078842022,0.8732329748580834
039,2,28.02782812967834,37.48571208042542,0.8772890624223532
040,2,29.853296642932918,44.27579583974325,0.9674434751849215
041,2,31.875502932010424,42.21253653400381,0.873658782090242
042,2,24.88704507412894,36.588797151334276,0.8355739826524805
043,2,20.452490920710883,35.493303358801086,0.7966744027485079
044,2,32.189262586795884,44.08684160956619,0.9148287518963842
045,2,23.72340930399979,35.551441662367665,0.8206448756785877
046,2,27.608823282305067,39.33966400728275,0.8615315750064724
047,2,26.17968802023597,39.36378269771815,0.8123460235398586
048,2,25.498846181296337,40.607692007442814,0.8392063209407176
049,2,28.711634525496738,39.658294130540376,0.8410643894916967
